,formula,element1,element2
3976,NbRu3,Nb,Ru
3977,NbTi4,Nb,Ti
3978,Nb5Si,Nb,Si
3979,Nb3Sn,Nb,Sn
3980,MoNi,Mo,Ni
3981,Mo2Zr,Mo,Zr
3982,Mo3Pt,Mo,Pt
3983,Mo5Ru3,Mo,Ru
3984,MoV,Mo,V
3985,MoRe,Mo,Re
3986,MoNb2,Mo,Nb
3987,MoZn,Mo,Zn
3988,Ru2Tb,Ru,Tb
3989,RuZr,Ru,Zr
3990,Ru3U,Ru,U
3991,Ru2Sc,Ru,Sc
3992,Ru2Y,Ru,Y
3993,RuTi,Ru,Ti
3994,RuV,Ru,V
3995,Ag3Ru,Ag,Ru
3996,RuZn3,Ru,Zn
3997,RhY,Rh,Y
3998,Rh3U,Rh,U
3999,Rh3Ti,Rh,Ti
4000,Rh2Tb,Rh,Tb
4001,RhSc,Rh,Sc
4002,RhZr2,Rh,Zr
4003,Rh3Ta,Rh,Ta
4004,RhV3,Rh,V
4005,Ag3Rh,Ag,Rh
4006,NaRh,Na,Rh
4007,RhW,Rh,W
4008,Rh3Th,Rh,Th
4009,RhZn,Rh,Zn
4010,PdV,Pd,V
4011,Pd3U,Pd,U
4012,Pd3Y,Pd,Y
4013,Pd2Tb5,Pd,Tb
4014,Pd3Ti,Pd,Ti
4015,Pd3Ta,Pd,Ta
4016,Pb2Pd,Pb,Pd
4017,PdZr2,Pd,Zr
4018,Pd3Tm,Pd,Tm
4019,PdZn,Pd,Zn
4020,PdSc,Pd,Sc
4021,PdSm,Pd,Sm
4022,PdPt5,Pd,Pt
4023,Pd4Th,Pd,Th
4024,Ag4Pd,Ag,Pd
4025,Pd4Yb3,Pd,Yb
4026,Pd3Ru,Pd,Ru
4027,Pd3Rh,Pd,Rh
4028,AgTi,Ag,Ti
4029,AgY,Ag,Y
4030,AgTb,Ag,Tb
4031,AgZn,Ag,Zn
4032,AgYb,Ag,Yb
4033,Ag5Sr,Ag,Sr
4034,AgZr,Ag,Zr
4035,AgTm,Ag,Tm
4036,AgNa,Ag,Na
4037,AgW,Ag,W
4038,Ag5V,Ag,V
4039,AgCd,Ag,Cd
4040,Cd2Na,Cd,Na
4041,Cd6Yb,Cd,Yb
4042,AuCd,Au,Cd
4043,CdCu2,Cd,Cu
4044,CdGd,Cd,Gd
4045,CdLi,Cd,Li
4046,CdMg,Cd,Mg
4047,CdHg,Cd,Hg
4048,Cd11La,Cd,La
4049,Cd3Sr5,Cd,Sr
4050,CdNi,Cd,Ni
4051,CdTb,Cd,Tb
4052,CdTi2,Cd,Ti
4053,CdZn,Cd,Zn
4054,CdFe,Cd,Fe
4055,CdPd,Cd,Pd
4056,CdPt,Cd,Pt
4057,CdK,Cd,K
4058,Cd7Sc,Cd,Sc
4059,CdSm,Cd,Sm
4060,CdPb,Cd,Pb
4061,Cd2Pu,Cd,Pu
4062,CaCd6,Ca,Cd
4063,FeHf2,Fe,Hf
4064,HfV2,Hf,V
4065,HfNi5,Hf,Ni
4066,Hf2Rh,Hf,Rh
4067,HfMo2,Hf,Mo
4068,HfPd2,Hf,Pd
4069,HfRe2,Hf,Re
4070,HfMn2,Hf,Mn
4071,HfW2,Hf,W
4072,HfOs2,Hf,Os
4073,HfRu,Hf,Ru
4074,AgHf,Ag,Hf
4075,HfIr3,Hf,Ir
4076,HfNb3,Hf,Nb
4077,HfSi2,Hf,Si
4078,TaV2,Ta,V
4079,ReW,Re,W
4080,Re2Zr,Re,Zr
4081,ReTi,Re,Ti
4082,Re5U,Re,U
4083,OsTi,Os,Ti
4084,Os2Sc,Os,Sc
4085,OsV,Os,V
4086,OsPt4,Os,Pt
4087,IrLu,Ir,Lu
4088,IrNb,Ir,Nb
4089,IrSc,Ir,Sc
4090,Ir2La,Ir,La
4091,Ir2Y,Ir,Y
4092,IrTi,Ir,Ti
4093,IrV,Ir,V
4094,Ir3Ta,Ir,Ta
4095,Ir3Zr,Ir,Zr
4096,IrU,Ir,U
4097,IrMo,Ir,Mo
4098,IrRh2,Ir,Rh
4099,IrMg3,Ir,Mg
4100,IrPt,Ir,Pt
4101,IrMn3,Ir,Mn
4102,Ir2Sc,Ir,Sc
4103,IrTb,Ir,Tb
4104,Ir3Tm2,Ir,Tm
4105,Ir3Nd7,Ir,Nd
4106,IrRe3,Ir,Re
4107,IrPd,Ir,Pd
4108,PtTh,Pt,Th
4109,PtTi,Pt,Ti
4110,PtY,Pt,Y
4111,Pt2V,Pt,V
4112,Pb4Pt,Pb,Pt
4113,Pt5Sm,Pt,Sm
4114,PtTa,Pt,Ta
4115,PtTb,Pt,Tb
4116,Pt3U,Pt,U
4117,Pt11Zr9,Pt,Zr
4118,PtZn,Pt,Zn
4119,Pt4Re,Pt,Re
4120,Pt3Sc,Pt,Sc
4121,Pt9W,Pt,W
4122,PtRu,Pt,Ru
4123,Pt3Tm2,Pt,Tm
4124,AuLa,Au,La
4125,AuZn3,Au,Zn
4126,AuHo2,Au,Ho
4127,AuTm2,Au,Tm
4128,Au6Sm,Au,Sm
4129,Ag2Au,Ag,Au
4130,AuPb2,Au,Pb
4131,AuPd,Au,Pd
4132,AuTi3,Au,Ti
4133,Au2Mn,Au,Mn
4134,AuLu,Au,Lu
4135,AuNi,Au,Ni
4136,AuMg,Au,Mg
4137,AuTb,Au,Tb
4138,AuV3,Au,V
4139,AuY,Au,Y
4140,AuLi,Au,Li
4141,AuRb,Au,Rb
4142,AuK,Au,K
4143,AuTa,Au,Ta
4144,Au5Sr,Au,Sr
4145,Au3Fe,Au,Fe
4146,AuHf,Au,Hf
4147,AuNb,Au,Nb
4148,AuZr,Au,Zr
4149,AuRe,Au,Re
4150,AuOs,Au,Os
4151,AuMo,Au,Mo
4152,AuHg,Au,Hg
4153,HgZn,Hg,Zn
4154,Hg2Na,Hg,Na
4155,HgPt,Hg,Pt
4156,Ag2Hg3,Ag,Hg
4157,HgPb2,Hg,Pb
4158,AgHg,Ag,Hg
4159,Hg2U,Hg,U
4160,Hg2Rb,Hg,Rb
4161,HgZr3,Hg,Zr
4162,Hg2Sr3,Hg,Sr
4163,HgTi3,Hg,Ti
4164,Hg2K,Hg,K
4165,Hg4Pd,Hg,Pd
4166,Hg2Rh,Hg,Rh
4167,Ag11Hg9,Ag,Hg
4168,HgTl,Hg,Tl
4169,LaPd3,La,Pd
4170,LaPt2,La,Pt
4171,LaRh2,La,Rh
4172,LaRu2,La,Ru
4173,La2Mg17,La,Mg
4174,LaOs2,La,Os
4175,LaPb3,La,Pb
4176,La7Ni3,La,Ni
4177,LaRh,La,Rh
4178,LaZn5,La,Zn
4179,La3Li,La,Li
4180,La3Rh2,La,Rh
4181,CeCo2,Ce,Co
4182,CeCu,Ce,Cu
4183,CeFe2,Ce,Fe
4184,CeIr3,Ce,Ir
4185,CeMg12,Ce,Mg
4186,CeNi,Ce,Ni
4187,CePb3,Ce,Pb
4188,CePt2,Ce,Pt
4189,AgCe,Ag,Ce
4190,CeRu2,Ce,Ru
4191,CeZn,Ce,Zn
4192,CePd3,Ce,Pd
4193,CeRh,Ce,Rh
4194,NdPt5,Nd,Pt
4195,NdNi,Nd,Ni
4196,NdPd3,Nd,Pd
4197,NdZn,Nd,Zn
4198,NdRu2,Nd,Ru
4199,Ag2Nd,Ag,Nd
4200,NdRh2,Nd,Rh
4201,NdRe2,Nd,Re
4202,AgSm,Ag,Sm
4203,SmZn,Sm,Zn
4204,EuMg2,Eu,Mg
4205,EuPt5,Eu,Pt
4206,Ag5Eu,Ag,Eu
4207,Au5Eu,Au,Eu
4208,EuPd2,Eu,Pd
4209,Eu3Ir2,Eu,Ir
4210,Eu5Pb3,Eu,Pb
4211,EuZn13,Eu,Zn
4212,EuW,Eu,W
4213,AgGd,Ag,Gd
4214,Fe2Gd,Fe,Gd
4215,GdMg,Gd,Mg
4216,GdNi,Gd,Ni
4217,Gd6Mn23,Gd,Mn
4218,AuGd,Au,Gd
4219,GdRu2,Gd,Ru
4220,GdZn12,Gd,Zn
4221,GdPt5,Gd,Pt
4222,GdPd3,Gd,Pd
4223,GdRh2,Gd,Rh
4224,GdIr2,Gd,Ir
4225,Tb2Zn17,Tb,Zn
4226,Dy6Fe23,Dy,Fe
4227,AgDy,Ag,Dy
4228,DyMn2,Dy,Mn
4229,DyPt2,Dy,Pt
4230,DyRu2,Dy,Ru
4231,Dy2Ni17,Dy,Ni
4232,Dy5Pd2,Dy,Pd
4233,DyMg,Dy,Mg
4234,DyRh,Dy,Rh
4235,AuDy,Au,Dy
4236,DyPb3,Dy,Pb
4237,Dy2Zn17,Dy,Zn
4238,DyIr,Dy,Ir
4239,HoRh2,Ho,Rh
4240,AgHo,Ag,Ho
4241,Fe2Ho,Fe,Ho
4242,HoMn2,Ho,Mn
4243,HoRu2,Ho,Ru
4244,Ho5Pd2,Ho,Pd
4245,HoPt3,Ho,Pt
4246,HoMg,Ho,Mg
4247,HoNi,Ho,Ni
4248,Ho2Zn17,Ho,Zn
4249,HoIr2,Ho,Ir
4250,ErZn12,Er,Zn
4251,ErNi2,Er,Ni
4252,AuEr2,Au,Er
4253,AgEr,Ag,Er
4254,ErFe2,Er,Fe
4255,ErMg2,Er,Mg
4256,ErMn2,Er,Mn
4257,ErPt3,Er,Pt
4258,ErRu2,Er,Ru
4259,ErPd3,Er,Pd
4260,ErRh,Er,Rh
4261,Er3Ir,Er,Ir
4262,Yb2Zn17,Yb,Zn
4263,LuRh2,Lu,Rh
4264,Lu6Mn23,Lu,Mn
4265,AgLu,Ag,Lu
4266,LuNi2,Lu,Ni
4267,LuPt3,Lu,Pt
4268,LuMg2,Lu,Mg
4269,Lu6Pb5,Lu,Pb
4270,LuPd,Lu,Pd
4271,Th2Zn17,Th,Zn
4272,PuRu2,Pu,Ru
4273,CmPt5,Cm,Pt
