number,name,type,radioactive,x_alpha,x_alpha_1990,x_ar,x_ar_1958,x_ar_we,x_p,x_s,x_s_1989,x_s_we,x_sa,x_mj,x_mj_s,x_mj_sp,x_mj_sp2,x_mj_sp3,x_p_kd,x_mj_kd,x_sa_kd,x_ar_kd,ce_ev_kd,x_ce_kd,x_s_kd,x_a_kd,x_be_kd,x_gg_ev_kd,x_alpha_kd,x_pa_ev_kd,x_sm_kd,ch_ev_kd
52,Te,1,F,2.08,2.08,2.01,2.01,2.01,2.1,2.158,2.158,2.158,2.62,2.41,2.41,NA,NA,NA,2.1,2.57,2.618,2.01,12.76,2.158,2.158,NA,NA,5.325,2.08,5.49,2.1,3.52
53,I,1,F,2.27,2.27,2.21,2.21,2.21,2.66,2.359,2.359,2.359,2.78,2.74,2.74,NA,NA,NA,2.66,2.95,2.778,2.21,13.95,2.359,2.359,2.66,NA,5.5916,2.27,6.76,2.5,3.69
54,Xe,2,F,2.45,2.45,2.4,NA,2.4,2.6,2.582,2.582,2.582,2.34,2.73,2.73,NA,NA,NA,2.6,3.01,2.34,2.4,15.27,2.582,2.582,NA,NA,5.8121,2.45,NA,NA,NA
55,Cs,3,F,0.79,0.79,0.86,0.86,0.86,0.79,0.659,NA,NA,0.22,0.62,0.62,NA,NA,NA,0.79,0.62,0.22,0.86,3.898,0.659,NA,0.79,NA,NA,0.79,2.18,0.75,1.71
56,Ba,3,F,0.98,0.98,0.97,0.97,0.97,0.89,0.881,NA,NA,0.68,0.88,0.88,NA,NA,NA,0.89,0.88,0.683,0.97,5.211,0.881,NA,0.89,NA,NA,0.98,2.4,0.9,2.9
57,La,5,F,1.04,1.04,1.08,1.08,1.08,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,1.08,NA,NA,NA,1.1,NA,NA,1.04,3.1,1.15,2.6
58,Ce,5,F,1.05,1.05,NA,NA,1.08,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,NA,NA,1.08,NA,NA,NA,1.12,NA,NA,1.05,NA,1.5,NA
59,Pr,5,F,1.06,1.06,NA,NA,1.07,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,NA,NA,1.07,NA,NA,NA,1.13,NA,NA,1.06,NA,NA,NA
60,Nd,5,F,1.03,1.03,NA,NA,1.07,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,NA,NA,1.07,NA,NA,NA,1.14,NA,NA,1.03,NA,NA,NA
61,Pm,5,T,1.04,1.04,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,NA,NA,1.04,NA,NA,NA,NA,NA,NA
62,Sm,5,F,1.05,1.05,NA,NA,1.07,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17,NA,NA,1.07,NA,NA,NA,1.17,NA,NA,1.05,NA,1.1,NA
63,Eu,5,F,1.06,1.06,NA,NA,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,NA,NA,NA,NA,NA,NA,1.06,NA,1.3,NA
64,Gd,5,F,1.1,1.1,NA,NA,1.11,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,1.11,NA,NA,NA,1.2,NA,NA,1.1,NA,1.25,NA
65,Tb,5,F,1.08,1.08,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,1.08,NA,1.7,NA
66,Dy,5,F,1.09,1.09,NA,NA,1.1,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA,1.1,NA,NA,NA,1.22,NA,NA,1.09,NA,NA,NA
67,Ho,5,F,1.1,1.1,NA,NA,1.1,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,NA,NA,1.1,NA,NA,NA,1.23,NA,NA,1.1,NA,NA,NA
68,Er,5,F,1.11,1.11,NA,NA,1.11,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,NA,NA,1.11,NA,NA,NA,1.24,NA,NA,1.11,NA,NA,NA
